rentalID,rental_date,rental_duration_days,rental_price,customer_customerID,car_carID
489,2021-07-24,21,461,189,358
490,2020-09-29,13,180,192,505
491,2021-07-21,28,447,17,454
492,2021-01-06,9,268,184,539
493,2021-11-30,26,364,225,351
494,2021-01-20,22,67,72,404
495,2020-02-06,23,494,19,398
496,2021-08-14,24,401,4,468
497,2021-01-07,1,473,102,474
498,2020-09-08,28,307,66,367
499,2021-12-24,14,364,100,345
500,2021-07-06,21,158,219,361
501,2020-08-31,21,94,99,539
502,2021-04-19,7,362,61,489
503,2021-10-07,11,237,186,520
504,2021-05-05,20,194,212,394
505,2021-07-24,3,373,143,520
506,2021-07-11,9,464,152,461
507,2021-08-02,15,83,107,387
508,2020-03-11,29,232,49,485
509,2021-12-27,2,228,14,344
510,2020-08-11,14,299,162,380
511,2021-03-22,26,235,120,388
512,2021-05-15,12,109,156,442
513,2020-09-16,19,98,134,381
514,2020-09-02,13,128,188,525
515,2020-09-04,13,266,208,492
516,2021-02-23,20,409,39,493
517,2021-06-06,6,203,241,334
518,2021-09-16,11,82,171,477
519,2021-01-28,7,167,125,548
520,2020-05-22,30,69,158,312
521,2021-09-18,18,498,119,368
522,2020-07-05,19,207,129,382
523,2021-04-02,29,244,206,495
524,2020-06-25,11,300,60,392
525,2020-09-28,1,368,67,548
526,2021-01-20,22,453,40,332
527,2021-02-24,11,202,93,321
528,2020-03-11,30,499,66,346
529,2021-04-30,28,129,241,352
530,2020-10-09,16,91,121,444
531,2020-03-02,8,498,1,413
532,2020-09-25,3,245,50,320
533,2021-05-07,29,79,21,379
534,2020-06-24,26,358,176,349
535,2021-02-15,21,397,114,369
536,2020-01-14,11,464,117,367
537,2020-08-26,14,58,95,486
538,2020-03-27,27,449,47,444
539,2021-03-14,18,260,129,306
540,2021-09-29,17,210,39,459
541,2021-10-18,3,386,7,432
542,2020-08-15,18,470,155,500
543,2020-02-08,24,410,139,550
544,2021-12-13,24,66,116,398
545,2021-09-29,2,399,102,386
546,2020-08-06,6,183,48,485
547,2021-08-29,22,231,230,421
548,2021-07-31,14,86,3,523
549,2020-04-19,24,361,250,486
550,2021-04-11,7,378,160,546
551,2020-05-30,5,222,235,438
552,2020-09-01,9,311,81,400
553,2020-05-02,10,86,157,499
554,2020-01-10,13,192,172,454
555,2021-04-15,24,219,16,506
556,2020-02-23,2,335,72,532
557,2021-03-19,13,288,208,336
558,2020-09-23,21,262,192,372
559,2020-02-25,11,289,179,337
560,2020-05-28,1,479,174,425
561,2021-03-01,2,199,105,437
562,2021-06-03,2,144,25,467
563,2020-03-09,15,164,213,448
564,2021-01-22,21,98,4,424
565,2021-10-21,10,138,174,325
566,2021-07-30,17,305,124,510
567,2020-01-20,2,473,129,504
568,2021-06-20,14,61,166,371
569,2020-02-23,26,208,145,494
570,2020-11-23,14,389,20,407
571,2020-09-01,26,280,219,548
572,2020-05-22,30,52,16,480
573,2021-12-18,1,277,242,548
574,2020-07-28,25,315,5,389
575,2021-03-02,6,265,238,382
576,2021-07-18,3,70,32,350
577,2021-06-20,14,405,193,332
578,2020-04-27,15,414,161,321
579,2021-02-10,26,244,107,386
580,2021-01-11,27,421,215,318
581,2021-06-08,25,417,213,350
582,2021-08-03,15,378,82,544
583,2021-11-07,9,182,249,411
584,2020-03-06,6,263,162,437
585,2021-02-04,7,165,22,332
586,2020-09-26,26,165,104,360
587,2020-04-07,14,338,156,473
588,2020-11-10,18,56,28,411
589,2020-09-15,5,385,217,448
590,2020-11-14,10,216,119,300
591,2020-02-02,4,443,138,468
592,2020-07-11,8,201,210,335
593,2020-12-23,20,165,11,412
594,2021-04-19,14,365,51,346
595,2020-04-10,29,500,155,539
596,2021-08-14,6,109,139,498
597,2021-11-07,13,219,195,340
598,2020-01-07,30,427,31,337
599,2020-02-24,9,262,79,409
600,2020-01-11,19,306,85,507
601,2020-10-31,21,472,76,350
602,2020-11-23,4,292,89,543
603,2020-01-03,22,295,58,424
604,2021-06-13,3,361,184,469
605,2021-10-22,2,307,88,442
606,2021-06-03,7,325,161,320
607,2021-06-27,28,206,128,512
608,2020-11-14,28,71,122,478
609,2020-06-05,9,114,207,413
610,2021-10-28,16,51,175,422
611,2021-11-27,27,148,86,351
612,2020-07-24,15,465,149,491
613,2020-05-29,18,493,72,373
614,2021-04-19,30,361,53,506
615,2020-04-22,12,164,178,398
616,2021-09-12,11,270,65,311
617,2021-02-16,13,116,88,444
618,2020-03-05,14,299,46,541
619,2020-12-31,9,198,148,443
620,2021-12-25,29,131,209,436
621,2020-09-20,8,466,144,523
622,2021-08-18,1,52,83,476
623,2021-03-17,6,475,12,434
624,2020-06-29,18,136,14,342
625,2021-10-29,22,229,124,499
626,2021-05-29,27,436,175,330
627,2020-06-26,9,68,113,467
628,2020-11-15,6,240,37,544
629,2021-08-06,19,416,213,473
630,2021-07-20,27,336,109,449
631,2021-05-26,22,174,67,492
632,2021-07-28,28,324,147,530
633,2020-12-24,14,238,116,542
634,2021-03-10,10,351,93,409
635,2021-07-04,24,278,224,466
636,2020-10-05,26,469,230,388
637,2020-12-27,16,413,224,415
638,2021-09-07,16,221,66,547
639,2021-09-05,20,119,208,422
640,2020-11-05,27,231,30,328
641,2020-10-11,5,281,219,359
642,2020-09-24,23,293,149,373
643,2020-07-27,30,96,40,371
644,2020-02-26,16,107,204,420
645,2020-10-28,12,440,190,381
646,2021-05-16,24,314,105,488
647,2021-07-05,24,111,59,544
648,2020-06-13,13,162,229,334
649,2020-08-05,23,195,169,324
