carID,car_color,car_make,car_model
409,Puce,Lexus,HS
410,Turquoise,Volkswagen,CC
411,Orange,Chevrolet,Express 2500
412,Blue,Pontiac,Grand Am
413,Turquoise,Kia,Spectra
414,Pink,Ford,Thunderbird
415,Mauv,Audi,A8
416,Mauv,Cadillac,CTS
417,Indigo,Acura,MDX
418,Blue,BMW,Z4
419,Aquamarine,Jeep,Liberty
420,Green,Mitsubishi,Mirage
421,Aquamarine,Cadillac,STS
422,Indigo,Ford,Windstar
423,Turquoise,Nissan,300ZX
424,Orange,Honda,Civic
425,Violet,Pontiac,Bonneville
426,Orange,Mitsubishi,Starion
427,Blue,GMC,Savana 1500
428,Orange,Hyundai,Elantra
429,Red,Nissan,Frontier
430,Maroon,Chevrolet,Express 2500
431,Khaki,Chrysler,Concorde
432,Pink,Mercedes-Benz,GL-Class
433,Blue,Chrysler,Town & Country
434,Pink,Mercedes-Benz,W201
435,Mauv,Suzuki,Aerio
436,Purple,Subaru,Impreza
437,Crimson,Mercedes-Benz,CLS-Class
438,Pink,BMW,3 Series
439,Red,Volvo,S80
440,Pink,Mercury,Cougar
441,Fuscia,Ford,F-Series
442,Maroon,Volkswagen,Cabriolet
443,Indigo,Mercedes-Benz,SLK-Class
444,Aquamarine,Ford,Taurus
445,Violet,Toyota,FJ Cruiser
446,Crimson,Kia,Sedona
447,Crimson,Mitsubishi,Endeavor
448,Crimson,GMC,Savana 2500
449,Puce,Chevrolet,Express 2500
450,Crimson,Isuzu,Oasis
451,Goldenrod,BMW,Z4
452,Mauv,Ford,Explorer
453,Khaki,Volkswagen,rio
454,Yellow,BMW,3 Series
455,Pink,Chevrolet,Venture
456,Mauv,Lincoln,MKS
457,Puce,Nissan,350Z Roadster
458,Puce,Ford,F250
459,Fuscia,Pontiac,Vibe
460,Violet,Mercedes-Benz,C-Class
461,Blue,Chrysler,Grand Voyager
462,Red,Chevrolet,Astro
463,Orange,Audi,A6
464,Blue,Pontiac,Grand Prix
465,Blue,Chevrolet,Silverado 2500
466,Goldenrod,Chevrolet,G-Series 1500
467,Aquamarine,BMW,530
468,Blue,Mazda,CX-9
469,Pink,Oldsmobile,Achieva
470,Mauv,Suzuki,SX4
471,Blue,Saab,9000
472,Blue,Dodge,Charger
473,Turquoise,Mercedes-Benz,CL-Class
474,Turquoise,Mazda,RX-8
475,Khaki,GMC,Sierra
476,Aquamarine,Mercedes-Benz,300CE
477,Aquamarine,Geo,Tracker
478,Yellow,Toyota,MR2
479,Goldenrod,BMW,X6
480,Indigo,Suzuki,Aerio
481,Purple,Honda,Element
482,Red,Nissan,GT-R
483,Indigo,Cadillac,Eldorado
484,Purple,Ford,F250
485,Crimson,Chevrolet,Corvette
486,Fuscia,Ford,Courier
487,Purple,Suzuki,Sidekick
488,Teal,Infiniti,J
489,Orange,Honda,Civic
490,Turquoise,Ford,Mustang
491,Blue,Chrysler,Fifth Ave
492,Crimson,Mercedes-Benz,C-Class
493,Green,BMW,M
494,Pink,Saturn,Outlook
495,Turquoise,BMW,1 Series
496,Yellow,Mercedes-Benz,GLK-Class
497,Maroon,Dodge,D250 Club
498,Blue,BMW,525
499,Turquoise,Ford,Bronco II
500,Indigo,Chevrolet,Express 1500
501,Purple,Land Rover,Range Rover
502,Mauv,Chrysler,PT Cruiser
503,Puce,Chevrolet,Camaro
504,Green,Toyota,Corolla
505,Fuscia,Saturn,Aura
506,Yellow,Nissan,Altima
507,Indigo,Nissan,Frontier
508,Crimson,Ford,Escape
509,Maroon,BMW,1 Series
510,Red,Chevrolet,G-Series G20
511,Pink,Chrysler,Sebring
512,Fuscia,Subaru,Legacy
513,Teal,Nissan,Maxima
514,Violet,Chrysler,Sebring
515,Aquamarine,Volkswagen,Phaeton
516,Yellow,Kia,Sorento
517,Blue,Isuzu,Rodeo
518,Teal,Mazda,929
519,Goldenrod,Oldsmobile,Alero
520,Purple,Lexus,RX
521,Mauv,Ford,Mustang
522,Violet,Honda,CR-V
523,Teal,Ford,Thunderbird
524,Fuscia,Chrysler,300
525,Yellow,BMW,X5
526,Blue,Toyota,MR2
527,Purple,Mazda,Protege
528,Mauv,Ford,F250
529,Teal,Chevrolet,Silverado
530,Purple,Chevrolet,Colorado
531,Crimson,Mercedes-Benz,C-Class
532,Fuscia,Buick,LeSabre
533,Blue,Pontiac,Bonneville
534,Mauv,Daewoo,Leganza
535,Indigo,Audi,TT
536,Goldenrod,Chevrolet,TrailBlazer
537,Blue,Volvo,960
538,Red,Ford,Explorer
539,Crimson,Toyota,Camry
540,Pink,Mercedes-Benz,W201
541,Mauv,Cadillac,CTS
542,Turquoise,Toyota,RAV4
543,Purple,Toyota,Land Cruiser
544,Khaki,Ford,Mustang
545,Aquamarine,Mitsubishi,Mighty Max
546,Turquoise,Chevrolet,G-Series G30
547,Puce,Ford,Courier
548,Red,Pontiac,Grand Prix
549,Yellow,Ford,F250
